imdbID,Title,Awards,Awards_won,Awards_Nominated,Oscar_Won,Prime_Won,Golden_Globe_Won,BAFTA_Won,Prime_Nominated,Oscar_Nominated,Golden_Globe_Nominated,BAFTA_Nominated
tt0378194,Kill Bill: Vol. 2,Nominated for 2 Golden Globes. Another 21 wins & 72 nominations.,21,74,0,0,0,0,0,0,2,0
tt0382395,7 días; 7 noches,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0382898,The Basque Ball: Skin Against Stone,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
tt0383460,The Letter: An American Town and the 'Somali Invasion',1 win.,1,0,0,0,0,0,0,0,0,0
tt0383846,When I Grow Up; I'll Be a Kangaroo,1 win.,1,0,0,0,0,0,0,0,0,0
tt0385373,Alt und durchgeknallt,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
tt0385374,Aquí hay tomate,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
tt0385664,The Dr. Jekyll & Mr. Hyde Rock 'n Roll Musical,1 win.,1,0,0,0,0,0,0,0,0,0
tt0385842,Wolf,2 wins & 10 nominations.,2,10,0,0,0,0,0,0,0,0
tt0386907,5ive Days to Midnight,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0387541,Curse of the Ring,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0387564,Saw,8 wins & 10 nominations.,8,10,0,0,0,0,0,0,0,0
tt0387714,All Grown Up!,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
tt0388838,Clean,2 wins & 8 nominations.,2,8,0,0,0,0,0,0,0,0
tt0389121,The Mystery of Natalie Wood,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
tt0390205,Once Upon a Time in High School: The Spirit of Jeet Kune Do,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0395378,Airline,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0395560,Glauber o Filme; Labirinto do Brasil,6 wins & 2 nominations.,6,2,0,0,0,0,0,0,0,0
tt0397756,55 Degrees North,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0397800,JoJo's Circus,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0398408,3 Non-Blondes,3 nominations.,0,3,0,0,0,0,0,0,0,0
tt0398883,The Consequences of Love,14 wins & 17 nominations.,14,17,0,0,0,0,0,0,0,0
tt0400973,Allá tú,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0,0
tt0401224,Meltdown,2 nominations.,0,2,0,0,0,0,0,0,0,0
tt0406960,Major League Baseball 2005,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0413053,In the Darkness of the Night,5 wins & 2 nominations.,5,2,0,0,0,0,0,0,0,0
tt0413527,Adoption Stories,1 win.,1,0,0,0,0,0,0,0,0,0
tt0415399,Alarm für Cobra 11 - Einsatz für Team 2,1 win.,1,0,0,0,0,0,0,0,0,0
tt0417737,Lucky Jack: Three Attempts to Stop Smoking,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0418141,Scooby-Doo and the Loch Ness Monster,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0420318,The Wedding,13 wins & 7 nominations.,13,7,0,0,0,0,0,0,0,0
tt0424593,Afers exteriors,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0425271,Mothers; Fathers; and Other Strangers,1 win.,1,0,0,0,0,0,0,0,0,0
tt0426893,Anal Surprise Party,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0428517,Eye of the Beholder,3 nominations.,0,3,0,0,0,0,0,0,0,0
tt0429149,Tails from the Toilet,3 nominations.,0,3,0,0,0,0,0,0,0,0
tt0429293,59 segundos,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
tt0429301,Love Hurts,2 wins.,2,0,0,0,0,0,0,0,0,0
tt0432649,Close Encounters with Keith Barry,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0432967,Muttertag,1 win.,1,0,0,0,0,0,0,0,0,0
tt0433458,Star Wars: Knights of the Old Republic II - The Sith Lords,2 nominations.,0,2,0,0,0,0,0,0,0,0
tt0435926,A Escrava Isaura,1 win & 15 nominations.,1,15,0,0,0,0,0,0,0,0
tt0436374,The Uninvited Guest,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
tt0439341,6Teen,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
tt0439342,969,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0
tt0440788,Sex Across America: The Tenth Stop Aspen,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0441970,Akai tsuki,5 nominations.,0,5,0,0,0,0,0,0,0,0
tt0447435,Sex Ed,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
tt0447584,A Diarista,6 wins & 6 nominations.,6,6,0,0,0,0,0,0,0,0
tt0448948,American Latino TV,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0455373,Cape Cod,1 win.,1,0,0,0,0,0,0,0,0,0
tt0465778,Avenzio - Schöner leben!,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0473394,The Shining in 30 Seconds (and Re-enacted by Bunnies),1 win.,1,0,0,0,0,0,0,0,0,0
tt0498109,Gold,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0764672,24 oras,4 nominations.,0,4,0,0,0,0,0,0,0,0
tt0774034,The Brother,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0784828,Love Is in the Air,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0877538,Alles muss raus,1 nomination.,0,1,0,0,0,0,0,0,0,0
