WORD,RANK,FREQUENCY,LOG(RANK*FREQUENCY),LOG(TOTAL)
something,187,171,10.372772173357246,12.394351422798255
place,188,171,10.378105519332609,12.394351422798255
look,189,170,10.377545452109905,12.394351422798255
does,190,169,10.37692278708356,12.394351422798255
body,191,169,10.382172142969702,12.394351422798255
few,192,168,10.38145935143104,12.394351422798255
yet,193,166,10.37467797726143,12.394351422798255
off,194,166,10.379845947419872,12.394351422798255
take,195,166,10.38498734692029,12.394351422798255
those,196,163,10.37186486003728,12.394351422798255
moment,197,163,10.37695392954475,12.394351422798255
our,198,160,10.363440845928363,12.394351422798255
half,199,160,10.368478639958319,12.394351422798255
morning,200,159,10.367221568768269,12.394351422798255
saw,201,159,10.372209110279307,12.394351422798255
love,202,155,10.351692814320451,12.394351422798255
party,203,154,10.350158581455416,12.394351422798255
charles,204,153,10.348557915236652,12.394351422798255
hartfield,205,153,10.353447900530844,12.394351422798255
pleasure,206,152,10.351756689635858,12.394351422798255
till,207,152,10.356599314111646,12.394351422798255
family,208,151,10.354817916516243,12.394351422798255
sort,209,151,10.359614088779736,12.394351422798255
believe,210,149,10.351053836662928,12.394351422798255
knew,211,149,10.355804439421526,12.394351422798255
present,212,149,10.360532580617472,12.394351422798255
perhaps,213,147,10.351724752488161,12.394351422798255
almost,214,147,10.356408601800588,12.394351422798255
ought,215,146,10.354244649836,12.394351422798255
evening,216,146,10.358885029392502,12.394351422798255
room,217,145,10.356631095961035,12.394351422798255
certainly,218,142,10.34032212039035,12.394351422798255
yes,219,140,10.330714152425806,12.394351422798255
feel,220,138,10.320881231509567,12.394351422798255
hear,221,137,10.318143627345878,12.394351422798255
once,222,136,10.315332267608332,12.394351422798255
idea,223,136,10.31982665719617,12.394351422798255
letter,224,135,10.31692083029347,12.394351422798255
deal,225,135,10.32137518064285,12.394351422798255
looked,226,133,10.31088412749404,12.394351422798255
back,227,133,10.315299145703156,12.394351422798255
right,228,132,10.31214755154081,12.394351422798255
together,229,132,10.31652392614061,12.394351422798255
where,230,132,10.320881231509567,12.394351422798255
seen,231,131,10.317615033722944,12.394351422798255
down,232,130,10.314271822121892,12.394351422798255
gone,233,129,10.310850857927372,12.394351422798255
myself,234,129,10.315133519719373,12.394351422798255
between,235,128,10.311615778063777,12.394351422798255
old,236,128,10.315862068945227,12.394351422798255
people,237,128,10.320090405054748,12.394351422798255
possible,238,127,10.316457760130065,12.394351422798255
smith,239,126,10.312745458882988,12.394351422798255
both,240,124,10.300920488947028,12.394351422798255
best,241,124,10.305078499095693,12.394351422798255
cried,242,124,10.309219291761723,12.394351422798255
speak,243,124,10.313343008945585,12.394351422798255
least,244,124,10.31744979089824,12.394351422798255
acquaintance,245,124,10.321539776149764,12.394351422798255
walter,246,123,10.31751589130478,12.394351422798255
doubt,247,123,10.321572692000395,12.394351422798255
highbury,248,122,10.31744979089824,12.394351422798255
life,249,121,10.313243442061449,12.394351422798255
